"Subject","Start.Date","Start.Time","End.Date","End.Time","All.day.event","Reminder.on.off","Reminder.Date","Reminder.Time","Meeting.Organizer","Required.Attendees","Optional.Attendees","Billing.Information","Location","Mileage","Priority","Private","Sensitivity","Show.time.as"
"Event 1","2/24/2017","12:00:00 AM","2/25/2017","12:00:00 AM","True","False","2/23/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 2","2/22/2017","12:00:00 PM","2/22/2017","12:40:00 PM","False","False","2/22/2017","11:45:00 AM","Person 2","Person 32;Person 15;Person 33;Person 34;Person 5;Person 35;Person 7;Person 36;Person 37;Person 22;Person 38;Person 39;Person 40;Person 41;Person 31;Person 42;Person 43;Person 44;Person 11;Person 45","Person 24;Person 66;Person 1",NA,"Location 1",NA,"Normal","False","Normal",2
"Event 3","2/21/2017","12:00:00 AM","2/22/2017","12:00:00 AM","True","False","2/20/2017","11:45:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 4","2/22/2017","4:00:00 PM","2/22/2017","5:00:00 PM","False","False","2/22/2017","3:55:00 PM","Person 3","Person 24;Person 9;Person 1;Person 46;Person 47;Person 48;Person 49;Person 50","",NA,"Location 2",NA,"Normal","False","Normal",2
"Event 5","2/22/2017","1:30:00 PM","2/22/2017","2:30:00 PM","False","False","2/22/2017","1:15:00 PM","Person 1","Person 51","Person 5;Person 13",NA,"Location 3",NA,"Normal","False","Normal",2
"Event 6","2/24/2017","12:00:00 AM","2/25/2017","12:00:00 AM","True","False","2/23/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 7","2/24/2017","12:00:00 AM","2/25/2017","12:00:00 AM","True","False","2/23/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 8","2/16/2017","7:00:00 PM","2/16/2017","9:30:00 PM","False","False","2/16/2017","6:45:00 PM","Person 4","","Person 76",NA,NA,NA,"Normal","False","Normal",2
"Event 9","2/16/2017","1:00:00 PM","2/16/2017","2:00:00 PM","False","False","2/16/2017","12:45:00 PM","Person 5","Person 1;Person 13;Person 51","",NA,NA,NA,"Normal","False","Normal",1
"Event 10","2/14/2017","10:00:00 AM","2/14/2017","11:00:00 AM","False","False","2/14/2017","9:45:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 11","2/17/2017","2:00:00 PM","2/17/2017","2:30:00 PM","False","False","2/17/2017","1:45:00 PM","Person 6","Person 1","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 12","2/22/2017","12:00:00 AM","2/23/2017","12:00:00 AM","True","False","2/21/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 13","2/15/2017","2:00:00 PM","2/15/2017","3:00:00 PM","False","False","2/15/2017","1:45:00 PM","Person 5","Person 2;Person 13;Person 1","",NA,"Location 2",NA,"Normal","False","Normal",2
"Event 14","2/13/2017","4:00:00 PM","2/13/2017","5:00:00 PM","False","False","2/13/2017","3:45:00 PM","Person 7","Person 11;Person 5;Person 8","Person 32;Person 13;Person 1;Person 51",NA,"Location 5",NA,"Normal","False","Normal",2
"Event 15","2/16/2017","12:30:00 PM","2/16/2017","2:30:00 PM","False","False","2/16/2017","12:15:00 PM","Person 8","Person 7;Person 5","Person 13;Person 1;Person 51",NA,"Location 6",NA,"Normal","False","Normal",2
"Event 16","2/20/2017","1:00:00 PM","2/20/2017","1:30:00 PM","False","True","2/20/2017","12:45:00 PM","Person 5","Person 1","",NA,"Location 7",NA,"Normal","False","Normal",2
"Event 17","2/7/2017","3:30:00 PM","2/7/2017","4:00:00 PM","False","False","2/7/2017","3:15:00 PM","Person 1","Person 51","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 18","2/10/2017","3:30:00 PM","2/10/2017","5:30:00 PM","False","False","2/10/2017","3:15:00 PM","Person 9","Person 5;Person 13;Person 1;Person 52;Person 51;Person 53;Person 11;Person 3;Person 24;Person 54;Person 55","",NA,"Location 5",NA,"Normal","False","Normal",2
"Event 19","2/8/2017","12:00:00 PM","2/8/2017","1:00:00 PM","False","False","2/8/2017","11:45:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 20","2/9/2017","2:00:00 PM","2/9/2017","3:00:00 PM","False","False","2/9/2017","1:45:00 PM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 21","2/9/2017","12:00:00 PM","2/9/2017","1:00:00 PM","False","False","2/9/2017","11:45:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",2
"Event 22","2/20/2017","12:00:00 AM","2/21/2017","12:00:00 AM","True","False","2/19/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 23","2/2/2017","4:00:00 PM","2/2/2017","4:30:00 PM","False","False","2/2/2017","3:45:00 PM","Person 5","Person 13;Person 1;Person 51","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 24","1/30/2017","4:00:00 PM","1/30/2017","4:30:00 PM","False","False","1/30/2017","3:45:00 PM","Person 1","Person 5","",NA,"Location 4",NA,"Normal","False","Normal",2
"Event 25","1/30/2017","4:00:00 PM","1/30/2017","4:30:00 PM","False","False","1/30/2017","3:45:00 PM","Person 1","Person 5;Person 14","Person 22;Person 36;Person 100",NA,"Location 8",NA,"Normal","False","Normal",2
"Event 26","2/10/2017","2:30:00 PM","2/10/2017","3:30:00 PM","False","False","2/10/2017","2:15:00 PM","Person 10","Person 5;Person 56;Person 13;Person 1;Person 51;Person 7;Person 57;Person 8","",NA,NA,NA,"Normal","False","Normal",2
"Event 27","1/30/2017","1:00:00 PM","1/30/2017","1:40:00 PM","False","False","1/30/2017","12:45:00 PM","Person 2","Person 32;Person 15;Person 33;Person 34;Person 5;Person 35;Person 7;Person 36;Person 37;Person 22;Person 38;Person 39;Person 40;Person 41;Person 31;Person 42;Person 43;Person 44;Person 11","Person 1;Person 66",NA,"Location 9",NA,"Normal","False","Normal",2
"Event 28","2/7/2017","12:00:00 AM","2/8/2017","12:00:00 AM","True","False","2/6/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 29","2/3/2017","12:00:00 PM","2/3/2017","1:00:00 PM","False","False","2/3/2017","11:45:00 AM","Person 9","Person 5;Person 13;Person 1;Person 52;Person 51;Person 53;Person 11;Person 3;Person 24","",NA,"Location 5",NA,"Normal","False","Normal",2
"Event 30","2/3/2017","12:00:00 AM","2/4/2017","12:00:00 AM","True","False","2/2/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
"Event 31","2/17/2017","12:00:00 AM","2/18/2017","12:00:00 AM","True","False","2/16/2017","6:00:00 AM","Person 1","","",NA,NA,NA,"Normal","False","Normal",3
